review_id,decision,stage,reason,score,a_source,a_id,a_tourney,a_date,a_round,a_winner,a_loser,a_score,b_source,b_id,b_tourney,b_date,b_round,b_winner,b_loser,b_score
c2cfc9af01ab,merge,matches_vs_tennisdata,fuzzy_name,0.678,"sackmann,tml",sack:1584632489ff+tml:1584632489ff,Acapulco,2003-02-24,R16,Carlos Moya,Ricardo Mello,4-6 6-3 6-2,tennis_data,td:9379ab2b35a8,Abierto Mexicano,2003-02-26,2nd Round,Moya C.,Melo D.,4-6 6-3 6-2
4264fe67af6a,merge,matches_vs_tennisdata,fuzzy_name,0.678,"sackmann,tml",sack:a6d2776894af+tml:a6d2776894af,Acapulco,2003-02-24,R32,Ricardo Mello,Francisco Clavet,6-4 4-6 6-1,tennis_data,td:4428d9cdc739,Abierto Mexicano,2003-02-24,1st Round,Melo D.,Clavet F.,6-4 4-6 6-1
1ed27790aea8,,matches_vs_tennisdata,fuzzy_name,0.7,"sackmann,tml",sack:0ba2fb562c12+tml:0ba2fb562c12,Acapulco,2011-02-21,SF,David Ferrer,Alexandr Dolgopolov,5-7 6-1 6-1,tennis_data,td:cd8dd8a7ab79,Abierto Mexicano,2011-02-26,Semifinals,Ferrer D.,Dolgopolov O.,5-7 6-1 6-1
edebb19f2abd,,matches_vs_tennisdata,fuzzy_name,0.7,"sackmann,tml",sack:056a3908bb3d+tml:056a3908bb3d,Acapulco,2011-02-21,QF,Alexandr Dolgopolov,Stan Wawrinka,6-4 7-6(6),tennis_data,td:bb5a9c808a49,Abierto Mexicano,2011-02-25,Quarterfinals,Dolgopolov O.,Wawrinka S.,6-4 7-6
4d1a0c2f5389,,matches_vs_tennisdata,fuzzy_name,0.7,"sackmann,tml",sack:a967fc9cc5e6+tml:a967fc9cc5e6,Acapulco,2011-02-21,R16,Alexandr Dolgopolov,Carlos Berlocq,6-4 6-1,tennis_data,td:ef8a05444339,Abierto Mexicano,2011-02-23,2nd Round,Dolgopolov O.,Berlocq C.,6-4 6-1
67ca1ca3067c,,matches_vs_tennisdata,fuzzy_name,0.7,"sackmann,tml",sack:4fe4e7bec4b8+tml:4fe4e7bec4b8,Acapulco,2011-02-21,R32,Alexandr Dolgopolov,Paul Capdeville,7-5 6-2,tennis_data,td:08f9472e2585,Abierto Mexicano,2011-02-22,1st Round,Dolgopolov O.,Capdeville P.,7-5 6-2
120c6f33d0c2,,matches_vs_tennisdata,fuzzy_name,0.7,"sackmann,tml",sack:27547226e2df+tml:27547226e2df,Acapulco,2014-02-24,SF,Kevin Anderson,Alexandr Dolgopolov,6-1 5-7 6-4,tennis_data,td:c29b2f03da31,Abierto Mexicano,2014-03-01,Semifinals,Anderson K.,Dolgopolov O.,6-1 5-7 6-4
62660f6870f6,,matches_vs_tennisdata,fuzzy_name,0.7,"sackmann,tml",sack:93fa667cb676+tml:93fa667cb676,Acapulco,2014-02-24,QF,Alexandr Dolgopolov,Ivo Karlovic,6-4 7-6(4),tennis_data,td:7382185679ce,Abierto Mexicano,2014-02-27,Quarterfinals,Dolgopolov O.,Karlovic I.,6-4 7-6
b666b84a1ef8,,matches_vs_tennisdata,fuzzy_name,0.7,"sackmann,tml",sack:e183cd077b6d+tml:e183cd077b6d,Acapulco,2014-02-24,R16,Alexandr Dolgopolov,Jeremy Chardy,6-3 6-4,tennis_data,td:ebf299a45e83,Abierto Mexicano,2014-02-26,2nd Round,Dolgopolov O.,Chardy J.,6-3 6-4
0d8ef03659e7,,matches_vs_tennisdata,fuzzy_name,0.7,"sackmann,tml",sack:269a6cb08187+tml:269a6cb08187,Acapulco,2014-02-24,R32,Alexandr Dolgopolov,Vasek Pospisil,6-2 6-2,tennis_data,td:be3102d582f7,Abierto Mexicano,2014-02-26,1st Round,Dolgopolov O.,Pospisil V.,6-2 6-2
d39d8e15281e,,matches_vs_tennisdata,fuzzy_name,0.7,"sackmann,tml",sack:796628fd0fa7+tml:796628fd0fa7,Acapulco,2015-02-23,QF,Kei Nishikori,Alexandr Dolgopolov,6-4 6-4,tennis_data,td:5bd92a533551,Abierto Mexicano,2015-02-26,Quarterfinals,Nishikori K.,Dolgopolov O.,6-4 6-4
35607cea6626,,matches_vs_tennisdata,fuzzy_name,0.7,"sackmann,tml",sack:af701d6cafdc+tml:af701d6cafdc,Acapulco,2015-02-23,R16,Alexandr Dolgopolov,Andreas Haider Maurer,6-2 6-3,tennis_data,td:7c5f3eb51088,Abierto Mexicano,2015-02-25,2nd Round,Dolgopolov O.,Haider-Maurer A.,6-2 6-3
0a9f606ab679,,matches_vs_tennisdata,fuzzy_name,0.7,"sackmann,tml",sack:29e1418aaaf7+tml:29e1418aaaf7,Acapulco,2015-02-23,R32,Alexandr Dolgopolov,Sam Groth,6-3 4-6 6-0,tennis_data,td:7f03e2eea110,Abierto Mexicano,2015-02-23,1st Round,Dolgopolov O.,Groth S.,6-3 4-6 6-0
1e999d684ae4,,matches_vs_tennisdata,fuzzy_name,0.7,"sackmann,tml",sack:3f80b9ed18e9+tml:070d746e7268,Acapulco,2016-02-22,SF,Bernard Tomic,Alexandr Dolgopolov,1-6 6-4 6-3,tennis_data,td:0cf0375abc90,Abierto Mexicano,2016-02-27,Semifinals,Tomic B.,Dolgopolov O.,1-6 6-4 6-3
60b9d8552b86,,matches_vs_tennisdata,fuzzy_name,0.7,"sackmann,tml",sack:d840fc246bd7+tml:46157a02110b,Acapulco,2016-02-22,QF,Alexandr Dolgopolov,Robin Haase,6-3 6-3,tennis_data,td:4a967b803605,Abierto Mexicano,2016-02-26,Quarterfinals,Dolgopolov O.,Haase R.,6-3 6-3
701ef1f42a3b,,matches_vs_tennisdata,fuzzy_name,0.7,"sackmann,tml",sack:31857ee8ad40+tml:4f77ac6114f8,Acapulco,2016-02-22,R16,Alexandr Dolgopolov,David Ferrer,6-4 6-4,tennis_data,td:c8bd8f429005,Abierto Mexicano,2016-02-24,2nd Round,Dolgopolov O.,Ferrer D.,6-4 6-4
8ebba116cf82,,matches_vs_tennisdata,fuzzy_name,0.7,"sackmann,tml",sack:e821f5b1018b+tml:1c1324db32aa,Acapulco,2016-02-22,R32,Alexandr Dolgopolov,Steve Johnson,7-5 7-6(4),tennis_data,td:92d8d186b701,Abierto Mexicano,2016-02-24,1st Round,Dolgopolov O.,Johnson S.,7-5 7-6
2add3e857cb0,,matches_vs_tennisdata,fuzzy_name,0.7,"sackmann,tml",sack:498e8bee911c+tml:c455938b5324,Acapulco,2017-02-27,R32,Marin Cilic,Alexandr Dolgopolov,6-3 4-6 6-0,tennis_data,td:fdd0a598594a,Abierto Mexicano,2017-02-28,1st Round,Cilic M.,Dolgopolov O.,6-3 4-6 6-0
3d53cbc4a42d,,matches_vs_tennisdata,fuzzy_name,0.68,"sackmann,tml",sack:486d9cf7bdc4+tml:cb22c90ab024,Acapulco,2022-02-21,R32,Pablo Andujar,Juan Alejandro Hernandez Serrano,6-0 6-1,tennis_data,td:2ef684912eb6,Abierto Mexicano,2022-02-23,1st Round,Andujar P.,Hernandez A.,6-0 6-1
1b26b89c2b66,,matches_vs_tennisdata,fuzzy_name,0.68,"sackmann,tml",sack:610280f2c8d7+tml:779448fac2fb,Acapulco,2025-02-24,R32,Alex Michelsen,Bu Yunchaokete,2-6 7-6(5) 7-6(5),tennis_data,td:a5bb9d6f915d,Abierto Mexicano,2025-02-26,1st Round,Michelsen A.,Bu Y.,2-6 7-6 7-6
